"","BTM:B.cell.surface.signature..S2.","BTM:blood.coagulation..M11.1.","BTM:CCR1..7.and.cell.signaling..M59.","BTM:CD1.and.other.DC.receptors..M50.","BTM:CD4.T.cell.surface.signature.Th2.stimulated..S7.","BTM:cell.adhesion..M51.","BTM:cell.cycle..I...M4.1.","BTM:cell.cycle..mitotic.phase..M230.","BTM:cell.cycle.and.growth.arrest..M31.","BTM:cell.junction..GO...M4.13.","BTM:chemokine.cluster..II...M27.1.","BTM:chemokines.and.receptors..M38.","BTM:collagen..TGFB.family.et.al..M77.","BTM:combine( cell.movement..Adhesion...Platelet.activation..M30. cytoskeletal.remodeling..enriched.for.SRF.targets...M34. cytoskeleton.actin..SRF.transcription.targets...M145.0. cytoskeleton.actin..SRF.transcription.targets...M145.1. enriched.in.extracellular.matrix...associated.proteins..M202. )","BTM:combine( combine( regulation.of.signal.transduction..M3. enriched.in.monocytes..II...M11.0. cell.cycle.and.transcription..M4.0. immune.activation...generic.cluster..M37.0. ) combine( myeloid.cell.enriched.receptors.and.transporters..M4.3. formyl.peptide.receptor.mediated.neutrophil.response..M11.2. Resting.dendritic.cell.surface.signature..S10. ) )","BTM:combine( combine( TLR.and.inflammatory.signaling..M16. TBA..M114.0. ) combine( enriched.in.neutrophils..I...M37.1. Monocyte.surface.signature..S4. ) )","BTM:combine( cytoskeletal.remodeling..M32.8. TBA..M192. )","BTM:combine( golgi.membrane..I...M113. enriched.in.monocytes..surface...M118.1. )","BTM:combine( myeloid..dendritic.cell.activation.via.NFkB..II...M43.1. inflammasome.receptors.and.signaling..M53. )","BTM:combine( RIG.1.like.receptor.signaling..M68. viral.sensing...immunity..IRF2.targets.network..II...M111.1. type.I.interferon.response..M127. innate.antiviral.response..M150. Activated..LPS..dendritic.cell.surface.signature..S11. antiviral.IFN.signature..M75. TBA..M131. enriched.in.activated.dendritic.cells..II...M165. )","BTM:combine( T...B.cell.development..activation..M62.0. T.cell.surface.signature..S0. )","BTM:combine( T.cell.activation..III...M7.4. T.cell.differentiation.via.ITK.and.PKC..M18. )","BTM:combine( TBA..M137. TBA..M180. )","BTM:DC.surface.signature..S5.","BTM:double.positive.thymocytes..M126.","BTM:endoplasmic.reticulum..M37.2.","BTM:enriched.for.TF.motif.PAX3..M179.","BTM:enriched.in.activated.dendritic.cells.monocytes..M64.","BTM:enriched.in.cell.cycle..M167.","BTM:enriched.in.monocytes..III...M73.","BTM:enriched.in.monocytes..IV...M118.0.","BTM:enriched.in.myeloid.cells.and.monocytes..M81.","BTM:enriched.in.T.cells..II...M223.","BTM:extracellular.matrix..II...M2.1.","BTM:glycerophospholipid.metabolism..M114.1.","BTM:growth.factor.induced..enriched.in.nuclear.receptor.subfamily.4..M94.","BTM:heme.biosynthesis..II...M222.","BTM:immuregulation...monocytes..T.and.B.cells..M57.","BTM:inositol.phosphate.metabolism..M129.","BTM:integrin.mediated.leukocyte.migration..M39.","BTM:integrins.and.cell.adhesion..M84.","BTM:lysosome..M209.","BTM:Memory.B.cell.surface.signature..S9.","BTM:mitosis..TF.motif.CCAATNNSNNNGCG...M169.","BTM:mitotic.cell.cycle.in.stimulated.CD4.T.cells..M4.9.","BTM:myeloid..dendritic.cell.activation.via.NFkB..I...M43.0.","BTM:Naive.B.cell.surface.signature..S8.","BTM:phosphatidylinositol.signaling.system..M101.","BTM:platelet.activation...actin.binding..M196.","BTM:platelet.activation.and.degranulation..M85.","BTM:proinflammatory.cytokines.and.chemokines..M29.","BTM:purine.nucleotide.biosynthesis..M212.","BTM:putative.targets.of.PAX3..M89.0.","BTM:RA..WNT..CSF.receptors.network..monocyte...M23.","BTM:regulation.of.localization..GO...M63.","BTM:regulation.of.transcription..transcription.factors..M213.","BTM:respiratory.electron.transport.chain..mitochondrion...M216.","BTM:respiratory.electron.transport.chain..mitochondrion...M219.","BTM:respiratory.electron.transport.chain..mitochondrion...M238.","BTM:T.cell.differentiation..M14.","BTM:T.cell.signaling.and.costimulation..M44.","BTM:TBA..M102.","BTM:TBA..M121.","BTM:TBA..M148.","BTM:TBA..M161.","BTM:TBA..M174.","BTM:TBA..M183.","BTM:TBA..M185.","BTM:TBA..M186.","BTM:TBA..M190.","BTM:TBA..M194.","BTM:TBA..M198.","BTM:TBA..M203.","BTM:TBA..M205.","BTM:TBA..M208.","BTM:TBA..M211.","BTM:TBA..M241.","BTM:TBA..M242.","BTM:TBA..M243.","BTM:TBA..M248.","BTM:TBA..M249.","BTM:TBA..M66.","BTM:TBA..M72.0.","BTM:TBA..M79.","BTM:TBA..M98.0.","BTM:TLR8.BAFF.network..M25.","BTM:transcription.regulation.in.cell.development..M49.","BTM:translation.initiation.factor.3.complex..M245.","BTM:transmembrane.transport..I...M87.","BTM:transmembrane.transport..II...M191.","Colesterolo","Creatina.Chinasi..CK.","Glucosio","GOT.AST.","IL.10","IL.6","IP.10","Proteine.Totali","seg10BTVPCRcopiesper1ml_new","tongue_pos_cells"
"SMC-56",6.69875146031007e-05,0.000110939025240508,1.29330579961007e-05,1.52542838693925e-05,3.91279327391914e-05,6.96392141663615e-06,2.80162650492244e-05,9.84811086610637e-05,1.64148602321834e-05,0.000150538074997542,0.000143212591787067,0.000127042621010709,0.000186190439410483,3.34201976746051e-05,5.612549073164e-05,4.70520176347744e-05,3.40568474626046e-05,3.82691481286557e-05,0.000446442185253915,0.000144368555354157,2.44875366830488e-05,0.000121045915091544,0.000146189646851758,2.61817860067737e-05,3.6808259441079e-05,2.57409908419604e-05,8.20721459282581e-05,0.00011423969048785,1.97438027593755e-05,6.71525777473647e-06,0.000164495561942646,2.31732714608412e-05,7.58895793875336e-05,5.07350461067535e-05,5.37214364839667e-05,7.16291472580011e-06,2.01456725608118e-05,0.000152612504799254,6.47365643016151e-05,3.35760138676644e-05,0.000165415147965087,1.5349079281135e-05,2.21705957945684e-05,0.000104450400391309,3.25999234773722e-05,2.18864808063657e-05,3.34264135675166e-05,0.000212345974499151,3.97941448904149e-06,9.66894209131208e-05,7.46143594132498e-06,0.00012713210752846,3.97942438623566e-06,1.64149270336367e-05,6.80450551717726e-05,0.000350857971137319,0.000144001478965983,0.000134026510813845,9.97679840577526e-05,1.6713378862665e-05,0.00029176177787793,0.000125317858697516,0.000404632168357733,3.79841867648167e-05,5.62037372004998e-05,0.000168593073561096,1.64149314871853e-05,7.80886340228104e-05,7.90848316547521e-05,1.64150561901e-05,0.000184525207277852,5.1479696451695e-05,5.17303408131831e-05,9.13232607098191e-05,1.98968171019054e-05,0.000105621320888982,3.58149085526449e-05,0.000253379092367334,5.37213037055118e-05,4.17801767937931e-05,4.17831870607177e-05,0.000155182452961977,0.000411644650885945,5.96911134120859e-06,0,2.21707281302663e-05,6.05094335188738e-05,0.000728582078986628,2.93463730138832e-05,4.4496256796478e-05,99,72,67,100,70.53,0,667.56,7.3,0,0.00763519
"SMC-55",4.64421892472089e-05,6.04102418653163e-05,2.05408572100385e-05,1.278111275127e-05,2.00843726356759e-05,4.79290095145579e-06,3.00758845737104e-05,0.000101051291722332,1.33513252433826e-05,8.03339781869639e-05,0.000201786660326775,7.51167722037316e-05,0.000128150865666976,2.3549692425906e-05,5.30529082629627e-05,5.15255591868602e-05,1.88489418775362e-05,5.36384030114245e-05,0.000295039931219376,0.000126360529284275,1.62218468551245e-05,7.82375466903407e-05,0.000151957065897657,2.48351178000483e-05,2.32793246606189e-05,3.13239737563809e-05,0.000139668021503336,0.000138453986511466,1.51687719491811e-05,1.02706153071175e-06,0.000151370399576134,2.31991531629561e-05,5.75135791496262e-05,4.0567158896998e-05,5.54600052877774e-05,1.64329895557813e-06,8.21648802684649e-06,7.04235123487607e-05,5.87763480746073e-05,1.43788224018504e-05,0.000123232959915676,5.86889866371898e-06,4.81226183259853e-05,9.21383381575769e-05,4.04488476344333e-05,9.58577986942544e-06,2.9989112127371e-05,0.000205360598096282,6.39058471252341e-06,8.21557817420882e-05,0,7.06588392733742e-05,2.73883309276357e-06,1.84867795078869e-05,2.38276468476073e-05,0.000340302275618098,0.000243395140094638,0.000159092282732587,0.000147298699564535,7.3947990557599e-06,0.000139670700727734,5.20331037852095e-05,0.000257583637058634,4.48146401343941e-05,4.51883357412974e-05,0.000203304035984786,6.16236812978066e-06,6.16202486674045e-05,6.16200235263875e-05,2.05410766098701e-05,0.000122595415338544,4.00530929947074e-05,6.02508460458839e-05,7.31244757383731e-05,3.01262939446101e-05,6.57227524323289e-05,4.1082473893006e-05,0.000224805299330555,4.40699116948107e-05,6.98298862615854e-05,8.21648802662445e-06,8.29822837244976e-05,0.000393374421548964,2.05412411635741e-06,0,2.93441916081605e-05,5.18433203922086e-05,0.000858978654956877,1.57479651721193e-05,5.3779272031429e-05,96,129,64,145,118.96,164.92,526.15,8,0,0.0250771
"SMC-54",4.04505685838163e-05,7.09967392513722e-05,1.46551619228941e-05,1.15464597103543e-05,2.93096582644203e-05,7.99367966530795e-06,2.62883267063696e-05,7.11362411662808e-05,2.99758854278576e-05,0.000108350772918042,0.00019859978413006,8.44958235208804e-05,0.00017181561723234,3.64933209204832e-05,5.25567328166776e-05,5.25325504043828e-05,2.30396400269228e-05,5.35974768902658e-05,0.000404039243186993,0.000141102545808014,2.35696108832339e-05,9.17164832905382e-05,0.000127858349463716,1.78039388791795e-05,2.66446511703045e-05,2.84763039175573e-05,9.19222665083375e-05,0.000180350210591707,1.10682183500632e-05,2.99765832934007e-06,0.000136813140888314,2.58604966378861e-05,6.62302939524739e-05,2.74777701487761e-05,4.09674543870864e-05,1.27897477424366e-05,2.49803080309974e-05,3.99682720884087e-05,5.84106720715738e-05,1.69866709611721e-05,0.000126746235140418,1.94130788260249e-05,4.22506010795409e-05,8.4500445509228e-05,4.1811955932447e-05,2.26485647036867e-05,2.63787304741747e-05,0.000160508386103153,3.55278359487343e-06,8.63187797861542e-05,1.39889467363208e-05,8.79241691966737e-05,1.33229503140875e-06,1.99839648808986e-05,4.15656362653394e-05,0.000297635613040637,0.000207828248104391,0.000170768168386903,0.000151304315759937,3.19749188748553e-06,0.000156311992264735,2.26479790079726e-05,0.000211688651521769,3.70604163453248e-05,5.39528147514012e-05,0.000165435077321474,7.99376486360082e-06,6.59433608256599e-05,6.79435591677269e-05,3.19749476331843e-05,0.000132789935429756,3.59706480106414e-05,3.93010907822067e-05,5.03588622406959e-05,1.46547572430489e-05,6.07443389397666e-05,2.39812626425806e-05,0.000178027522651503,4.65082374696557e-05,5.19541129206935e-05,2.79780891634385e-05,0.000105505183658927,0.000342769344876981,6.99452877994666e-06,0,1.3703535618248e-05,4.90603976257553e-05,0.000941970876262577,1.7985381901342e-05,4.57818116645914e-05,89,146,189,105,56.95,107.79,417.66,7.2,0,0.0582777
"SMC-53",4.54469049804285e-05,5.92781924628749e-05,1.14051799031678e-05,1.17507355912316e-05,2.97216880194018e-05,1.24417022129286e-05,3.04807662263595e-05,0.000109477290154869,8.5538630576476e-06,0.000122335036582655,0.000210526305289171,0.00011196871089858,0.000120047286231273,2.21861328824069e-05,7.77225774415413e-05,5.04865694985757e-05,2.23208513414619e-05,5.59822900390028e-05,0.000300891830777195,0.000159564056731787,2.1852248381693e-05,0.000105432548203055,0.000166484471489259,2.68615234972902e-05,2.64382399468577e-05,2.87710821582632e-05,0.000114302578184455,0.000171450747608048,1.53130102742427e-05,6.22098977531849e-06,0.000159222312932306,4.4275186686038e-05,6.04301049589306e-05,4.85986033604835e-05,4.97671926180665e-05,2.48840868133371e-06,1.3997200388971e-05,8.79775557949269e-05,7.17748033491894e-05,1.78853525589773e-05,0.000169724115767433,1.59967169255371e-05,3.73246022067342e-05,0.000101306606929752,3.6846422120318e-05,2.07362251753995e-05,3.39018659332169e-05,0.000200584834448403,7.60347321637767e-06,4.6031687142456e-05,1.71077992838775e-05,7.8383324016551e-05,5.18417883998978e-06,1.39971278270146e-05,3.7325162776769e-05,0.000358291077419803,0.000204503521359589,0.000179269826118489,0.000150626903591577,9.33149095216912e-06,0.000215640422014829,6.0129957049293e-05,0.00026263727533582,4.01507750882324e-05,5.80567053807268e-05,0.000208027904154084,3.11050214385489e-06,8.19016866828726e-05,4.97665541325798e-05,3.11050988435202e-05,0.000143534434833947,3.9657360774159e-05,5.18391604007462e-05,7.71373722583402e-05,2.38469175868339e-05,6.84187889963273e-05,1.86629257885595e-05,0.000214319932787088,4.52431078716842e-05,4.7689476731172e-05,1.55525397458334e-05,7.77592160952079e-05,0.000427446760584038,4.66574233159989e-06,0,1.59967777382253e-05,5.72705590293765e-05,0.00080695448243584,2.33283811059692e-05,4.41116754126281e-05,67,59,112,113,292.78,458.11,3262.48,5.3,0,0.0145556
"SMC-52",5.78483012136921e-05,8.25399875896693e-05,1.09880240639626e-05,5.23242100158861e-06,4.60437864542307e-05,9.41822819888749e-06,3.0352001392675e-05,0.000111122784758333,2.00135794750089e-05,0.000104639696950848,0.000188270493833631,8.47556955891893e-05,0.000150662180519623,1.41270318647635e-05,5.37701549572223e-05,4.25163245707516e-05,2.32676110147878e-05,3.3794271151466e-05,0.000518583324914834,0.000144689098388717,2.87368700662149e-05,0.000122398314301719,0.000137385760580644,2.76117009516685e-05,3.13936357474454e-05,2.76648227988119e-05,0.000111838272434994,0.000117029996585805,1.52143011955541e-05,1.17729677362455e-06,0.000162304163490168,1.55120544320653e-05,7.13077767566794e-05,5.00327429668879e-05,7.06368002483249e-05,5.65101941263357e-06,1.76593310232676e-05,9.68598687711708e-05,6.80958753722649e-05,2.35458661732579e-05,0.000170849961133923,1.21093157277041e-05,2.95997581085672e-05,9.95622555399756e-05,3.83970777342313e-05,2.04060083432989e-05,4.23802575464372e-05,0.000209510796473245,2.0929631441291e-06,6.02716418818261e-05,9.41834646872586e-06,9.98285246422981e-05,4.70918062633885e-06,1.64816600494166e-05,4.52063086859855e-05,0.000310098413301985,0.000190715150377052,0.000171233723694764,0.000156742716221681,1.318563449626e-05,0.000267851164812649,8.94565559785843e-05,0.000480777308350389,3.93848020512344e-05,6.43530154469385e-05,0.00022220392300687,4.70917323402986e-06,8.24052299757128e-05,8.24055399666346e-05,3.76735411107276e-05,0.000158625725754424,3.41406168804514e-05,5.17985477670457e-05,9.04120624549698e-05,2.98242291618678e-05,9.32197369822862e-05,9.4183686445426e-06,0.000226020831614937,5.39401258830008e-05,4.08103044509112e-05,3.29639021814376e-05,9.98282938524664e-05,0.00037375018109076,1.17729677362455e-06,0,2.9599960833071e-05,4.96865751042908e-05,0.00081764079976554,2.8253686828128e-05,5.56523761359173e-05,112,124,90,119,68.08,56.3,871.19,8.2,0,0.0348836
"SMC-51",6.79502228431161e-05,9.04940440273894e-05,1.75643328876873e-05,1.40514440971629e-05,2.57603275581886e-05,9.66023940707217e-06,2.65596382695854e-05,9.69463763811351e-05,1.18559102944005e-05,0.000153380144933601,0.000227203563655021,0.000108384439604814,0.00020333069898415,1.61583627869e-05,5.9469070669893e-05,5.35041858313878e-05,2.97533654740612e-05,3.59525994946264e-05,0.000491941066682156,0.00015010349063993,2.53990686092109e-05,0.000124917729826146,0.000134095320443617,3.06567763279642e-05,3.77617148887843e-05,2.83211940881323e-05,8.95757537120456e-05,0.000129437073320471,2.43193980433709e-05,6.58667197495078e-06,0.000202331151568647,2.10759000198735e-05,6.92527100210061e-05,5.40082414650644e-05,5.13756037787694e-05,8.43091680491348e-06,1.18559380599681e-05,0.000106877181603293,5.99861791832357e-05,2.3711683504013e-05,0.00018966800405229,1.65606261988138e-05,3.91412798523838e-05,7.07578500482864e-05,3.08042464667313e-05,2.10772957156546e-05,4.1625145850821e-05,0.000203702195541222,2.34192037473768e-06,7.79745180330416e-05,5.26935632172432e-06,0.000106430259056545,3.51290112932112e-06,1.71250097913411e-05,6.42825692416249e-05,0.000311424628415491,0.000165978988075466,0.000146575471381194,0.000117429895237775,2.00232574942838e-05,0.000232994437400658,0.000107124608059506,0.00045121359318312,3.44890088448402e-05,5.79601711558908e-05,0.000202280679521216,1.31733873340867e-05,7.81550291770738e-05,7.37651585358545e-05,3.95199607088337e-05,0.000170175330792777,3.16149995980286e-05,6.32292775282206e-05,9.06277350978257e-05,2.63459857019477e-05,9.69368306644736e-05,3.68854664904994e-05,0.00019925578073221,7.66425369727042e-05,7.37603936891151e-05,3.68852443686229e-05,0.000121185673699786,0.000360265253214198,1.18559380599681e-05,0,3.01094743453412e-05,6.06829888412097e-05,0.000864064536448161,2.28328933424837e-05,4.50279814054877e-05,117,91,60,128,97.05,46.85,466.51,7.9,0,0.0457907
"SMC-50",6.75804815515324e-05,9.92338647380908e-05,1.56224731060473e-05,8.10063702427755e-06,2.43008666052091e-05,1.04149579649437e-05,2.54744743037882e-05,0.000106222559058011,1.69242905943001e-05,0.00013885300843075,0.000141300640936537,0.00011455254312831,0.000150985831619987,2.4299389414395e-05,5.35654832649612e-05,4.48894297697677e-05,2.81792570038242e-05,3.61437603326742e-05,0.000432127738575483,0.000142518693010185,2.72374437031431e-05,0.000111556879062391,0.000143408692895974,2.93501180779199e-05,4.42617378442201e-05,2.47353192572852e-05,0.000130178597471886,0.000133869323834857,2.00287844160929e-05,2.60377677818724e-06,0.000169371868978807,2.02170881105079e-05,6.24882991970832e-05,5.07699623284452e-05,4.16601301589381e-05,8.33197938776564e-06,1.95282605859326e-05,0.000126448330284301,5.68790709567502e-05,2.21318577100504e-05,0.000138362054849184,1.78542335809162e-05,4.31462315164666e-05,8.85246366459924e-05,2.48356916232595e-05,1.38866166479179e-05,3.69728934830338e-05,0.000207385745518041,6.94329928396797e-06,7.70609969653613e-05,5.2075332177548e-06,0.000121847100055028,3.47168579861723e-06,1.17168319488936e-05,4.16584653151197e-05,0.000327913330955498,0.000149713344228974,0.000137283359466833,0.000124976823324907,1.35396265017462e-05,0.000254558008572436,0.000111068403738868,0.000345926554888631,3.97657661825868e-05,5.64120447450467e-05,0.000182218716032079,5.2075332177548e-06,7.89768878957098e-05,0.000114554235256525,2.60376118577099e-05,0.00016419119821709,3.90537842980265e-05,5.20733888840219e-05,9.26907323643977e-05,3.29803718341903e-05,8.64295152542827e-05,2.08302413453598e-05,0.000225317572444927,6.72234734195865e-05,3.29789076234377e-05,4.16597233976468e-05,0.00013746336149878,0.000389345634468796,3.90565415053779e-06,0,2.97566752316403e-05,6.03310456981365e-05,0.000853057942182378,1.21509168682365e-05,4.63937102865852e-05,97,106,100,174,92.17,18.95,440.55,7.4,0,0.0368255
"SLC-36",4.14092467286853e-05,8.84720031657515e-05,7.0950416302118e-06,2.60148534163562e-05,6.93685465011917e-05,1.53722679017143e-05,4.73700538012878e-05,0.000191523540038263,2.12845397331574e-05,0.000137159933490061,0.000160076544005072,9.12136274422437e-05,0.000100024149830125,3.12108257378707e-05,6.27757330087242e-05,5.32399001960115e-05,4.88212729883308e-05,4.9660103376814e-05,0.000420008955078099,0.000130029355785322,4.67469580762714e-05,0.000175929937217045,0.000200839123049468,3.16041850929594e-05,8.27583135067922e-05,2.57189568728666e-05,0.000148092897222618,0.000175280059119043,2.94702949046322e-05,1.06424743537836e-05,0.000175956496378582,2.25360475112346e-05,7.3989980947875e-05,0.000108629032018692,5.94204738322279e-05,4.25700383566152e-06,1.24162929644456e-05,5.37173405419367e-05,9.11370692695535e-05,5.409717308269e-05,0.000183432914034665,1.7230640233068e-05,4.15539908908968e-05,0.000120604269864932,6.76721283037196e-05,2.48320563533966e-05,3.47633437636219e-05,0.000250037935576319,1.65547140167366e-05,6.10126660700594e-05,1.06425309835956e-05,0.000102165588568459,4.73001377043758e-06,2.66056840967366e-05,4.11497827899066e-05,0.000435256449732302,0.000134802035151038,0.000124482249001412,9.52744372053616e-05,3.40558484743791e-05,0.000327110323544044,4.72974448848529e-05,0.000514488150138659,8.44892599558555e-05,9.45934366880508e-05,0.000230874868734743,1.59637697330073e-05,0.00011055382693681,9.2224368114513e-05,5.32123654986005e-05,0.000208425923569733,3.10397976686083e-05,7.50826859030607e-05,0.000172393385469816,4.8480562112152e-05,0.000153910189736539,6.03080111714061e-05,0.000279258539588101,4.83747287025604e-05,3.31084185909436e-05,7.80432179983137e-05,7.30752417468228e-05,0.000483977156298776,1.06424806463057e-05,0,2.83797206763747e-05,8.19517725405561e-05,0.000555958232166809,2.18756025347489e-05,7.28834253103106e-05,21,122,51,121,358.15,44.55,455.93,6.1,0,0.0963736
"SLC-37",4.60639155941411e-05,0.000106413666099092,1.13431574533251e-05,1.76447134387914e-05,7.561458174421e-05,1.37061150029538e-05,3.86175011390932e-05,0.000150841907864185,2.48123339812167e-05,0.000162564999211634,0.000101255643603304,0.000127997344458119,8.6198709424723e-05,2.43838156774867e-05,6.51490244032438e-05,5.70379333257875e-05,4.23653059737905e-05,6.80469532448047e-05,0.000441854478768322,0.000161836533587589,4.18775052546394e-05,0.000152806859903487,0.000208730029501725,3.32547850467879e-05,7.18294035044753e-05,2.48126757171896e-05,0.000150992569594166,0.000225122863043437,2.39943938200593e-05,1.41787980503238e-05,0.000185696674482427,3.06912497907152e-05,8.26409028720221e-05,0.000117310963879236,8.50722294984951e-05,3.40293855094487e-06,1.98500872983232e-05,7.61571277554385e-05,8.07061897154515e-05,6.38023169072799e-05,0.00021711017151671,2.91677312214134e-05,3.24078693074714e-05,0.000132464141711974,5.10422112880438e-05,2.74118549905555e-05,2.89233640047293e-05,0.000246189036617439,1.89049425542986e-05,7.48566453827593e-05,9.9252376415393e-06,7.94005326498759e-05,9.45264908125409e-07,2.97750032980382e-05,3.74319059286421e-05,0.000387982939767495,0.000124061623249405,0.000117037538893472,0.000103300739247691,3.34618924811014e-05,0.00027346712550802,6.23818744684979e-05,0.000520257362246701,7.01168425853993e-05,8.60140013045907e-05,0.000236426885084073,1.55967922441658e-05,9.64132255392158e-05,9.92433012521055e-05,4.53726217783945e-05,0.0001984556522443,7.08874257075998e-05,6.89994552613982e-05,0.000167859520570746,4.44260310028533e-05,0.000168951137815121,7.6566312831039e-05,0.000287158599200366,4.4340903506912e-05,2.07950104589294e-05,5.95503784897033e-05,7.9965925750658e-05,0.000465950296610895,1.701460349679e-05,0,4.53710491890025e-05,9.26868777950673e-05,0.000494534183966389,2.83571672570204e-05,6.70260078858842e-05,22,138,57,121,65.19,64.05,547.69,6.3,0,0.0997614
"SLC-38",4.58167730470471e-05,0.000146350466354805,1.54311350657466e-05,1.99318992784026e-05,5.78635283678963e-05,1.49488453591307e-05,3.66766665087503e-05,0.000175305064574083,2.45928783340066e-05,0.000208289577902088,0.000154529319575269,0.000164475738977821,0.000116295204174222,3.00862858204631e-05,8.34747486551102e-05,7.62217882404048e-05,4.96905100448863e-05,8.95029375773682e-05,0.000517806275638355,0.000213903372396018,4.16887147487444e-05,0.000153413926548884,0.000217706994187328,4.20829141316581e-05,8.14827371196092e-05,2.67628971322154e-05,0.00016345718921551,0.000204101897975928,2.75969920719987e-05,1.15732243382016e-05,0.000232550333327364,4.08448663538064e-05,5.37327745766536e-05,0.000161252984267612,9.76484835399916e-05,6.94403991152726e-06,1.66366747920144e-05,6.19973540394447e-05,9.61392269394068e-05,5.35261756799965e-05,0.000243791044463038,2.97594008027424e-05,2.89329511407033e-05,0.000109527179276592,6.14254509574419e-05,2.31460775772518e-05,2.57500235809616e-05,0.000242025456361761,2.12176735239211e-05,4.51332005335647e-05,1.15733289758335e-05,8.67971979114923e-05,6.75115577397634e-06,2.67629871224528e-05,5.03420419015743e-05,0.000443899524454894,0.000107775453132897,0.000103105994638364,7.64659227638909e-05,2.60397771618681e-05,0.000325939371973893,5.40053549820119e-05,0.000537257651702872,6.99631373333176e-05,0.000109455130492764,0.000255988781982852,3.03795469978052e-05,0.00011138529590049,0.000104147808301036,4.91870311440934e-05,0.000227378265529543,7.16041536259482e-05,7.37765489358111e-05,0.000164905144220517,3.56832435433052e-05,0.000181059309001919,9.25864142429234e-05,0.000347153602775707,2.94593236329632e-05,2.79677187935423e-05,9.25840034518011e-05,0.000103576757636059,0.00048724706488712,1.22965728339697e-05,0,4.79450488388711e-05,0.000120892819951646,0.000506013711276898,3.23077855548526e-05,7.04906943231887e-05,33,101,53,67,142.59,141.36,319.09,6.2,0,0.0633775
