"","Colesterolo","Proteine.Totali","seg10BTVPCRcopiesper1ml_new","BTM:combine( RIG.1.like.receptor.signaling..M68. viral.sensing...immunity..IRF2.targets.network..II...M111.1. type.I.interferon.response..M127. innate.antiviral.response..M150. Activated..LPS..dendritic.cell.surface.signature..S11. antiviral.IFN.signature..M75. TBA..M131. enriched.in.activated.dendritic.cells..II...M165. )","BTM:translation.initiation.factor.3.complex..M245.","BTM:heme.biosynthesis..I...M171.","lung_pos_cells","BTM:proinflammatory.dendritic.cell..myeloid.cell.response..M86.1.","BTM:DC.surface.signature..S5.","BTM:phosphatidylinositol.signaling.system..M101.","BTM:TBA..M72.0.","BTM:combine( KLF12.targets.network..M32.3. CORO1A.DEF6.network..II...M32.4. )","BTM:putative.targets.of.PAX3..M89.0.","BTM:TBA..M72.1.","BTM:activated.dendritic.cells..M67.","BTM:cell.cycle..III...M103.","IFN_y","BTM:TBA..M203.","BTM:enriched.in.membrane.proteins..M124.","BTM:integrin.mediated.leukocyte.migration..M39.","IP.10","BTM:complement.activation..I...M112.0.","BTM:T.cell.activation..II...M7.3.","BTM:mismatch.repair..II...M22.1.","BTM:cell.cycle..ATP.binding..M144.","BTM:combine( extracellular.matrix..I...M2.0. extracellular.matrix..III...M2.2. )","BTM:Naive.B.cell.surface.signature..S8.","BTM:TBA..M186.","BTM:transcription.regulation.in.cell.development..M49.","BTM:E2F1.targets..Q3...M10.0.","BTM:combine( innate.activation.by.cytosolic.D..sensing..M13. chemokines.and.inflammatory.molecules.in.myeloid.cells..M86.0. )","Glucosio","BTM:combine( T.cell.activation.and.signaling..M5.1. T.cell.activation..IV...M52. cell.adhesion..GO...M117. )","BTM:extracellular.matrix..II...M2.1.","BTM:enriched.in.B.cells..IV...M47.3.","BTM:TBA..M148.","BTM:platelet.activation...actin.binding..M196.","BTM:TBA..M242.","BTM:combine( TBA..M137. TBA..M180. )","BTM:TBA..M205.","BTM:nuclear.pore.complex..M106.0.","BTM:growth.factor.induced..enriched.in.nuclear.receptor.subfamily.4..M94.","percentpositivenucleiFOXP3cortexnofollicles","BTM:combine( CORO1A.DEF6.network..I...M32.2. TBA..M32.7. TBA..M32.5. )","BTM:enriched.in.myeloid.cells.and.monocytes..M81.","BTM:B.cell.surface.signature..S2.","BTM:TBA..M161.","BTM:TBA..M248.","BTM:cell.division.in.stimulated.CD4.T.cells..M4.6.","BTM:enriched.in.B.cells..V...M47.4."
"SMC-56",99,7.3,0,0.000144368555354157,0.000728582078986628,2.98456235126032e-06,0.0109540625,9.88111714308459e-05,2.61817860067737e-05,0.000212345974499151,0.000411644650885945,0.000122859397143626,3.97942438623566e-06,0.000660606266807973,0.000487187598763317,5.44808859765933e-05,1.36,5.17303408131831e-05,0.000118688112196175,3.35760138676644e-05,667.56,4.70851376173087e-05,0.000120532266046247,5.91914710950103e-05,0.000155162343020265,4.0785505737384e-05,3.34264135675166e-05,7.90848316547521e-05,6.05094335188738e-05,0.00013223028908449,0.000179903483451316,67,0.000213802017311693,5.07350461067535e-05,0.00013944342393768,3.79841867648167e-05,3.97941448904149e-06,0.000253379092367334,0.000146189646851758,9.13232607098191e-05,4.57618918372482e-05,7.16291472580011e-06,9.14,0.000172667117907643,2.31732714608412e-05,6.69875146031007e-05,5.62037372004998e-05,4.17801767937931e-05,1.95652751633357e-05,7.82545708075677e-05
"SMC-55",96,8,0,0.000126360529284275,0.000858978654956877,3.081187756937e-06,0.021605475,0.000109530897280496,2.48351178000483e-05,0.000205360598096282,0.000393374421548964,7.20047191509199e-05,2.73883309276357e-06,0.000730428006440409,0.000329604942779671,5.83424755864481e-05,1.33,6.02508460458839e-05,9.85753701434611e-05,1.43788224018504e-05,526.15,2.28230207175439e-05,0.000107115844790284,5.06647833209417e-05,0.000153150064476248,2.46480464805021e-05,2.9989112127371e-05,6.16200235263875e-05,5.18433203922086e-05,0.000132031845160085,0.000131373712753957,64,0.000134022994292993,4.0567158896998e-05,6.57276210733748e-05,4.48146401343941e-05,6.39058471252341e-06,0.000224805299330555,0.000151957065897657,7.31244757383731e-05,3.39610118953448e-05,1.64329895557813e-06,9.97,9.73863773126027e-05,2.31991531629561e-05,4.64421892472089e-05,4.51883357412974e-05,6.98298862615854e-05,2.37350138545533e-05,5.75125473263327e-05
"SMC-54",89,7.2,0,0.000141102545808014,0.000941970876262577,6.29392005007112e-05,0.02122818,0.000111894594692297,1.78039388791795e-05,0.000160508386103153,0.000342769344876981,8.97917996836028e-05,1.33229503140875e-06,0.000661234979248082,0.000262492070843168,5.51232597565399e-05,1.56,3.93010907822067e-05,0.0001580595980466,1.69866709611721e-05,417.66,3.10851883362773e-05,0.000136153610133638,4.7292593149173e-05,0.000122738378617537,1.065823955404e-05,2.63787304741747e-05,6.79435591677269e-05,4.90603976257553e-05,0.000131457610010211,0.000238590588625076,189,0.000187806838903626,2.74777701487761e-05,0.000103179191490721,3.70604163453248e-05,3.55278359487343e-06,0.000178027522651503,0.000127858349463716,5.03588622406959e-05,3.25072658791115e-05,1.27897477424366e-05,12.11,0.000133772405696231,2.58604966378861e-05,4.04505685838163e-05,5.39528147514012e-05,5.19541129206935e-05,1.82071918135573e-05,8.43658628810751e-05
"SMC-53",67,5.3,0,0.000159564056731787,0.00080695448243584,1.55525470013629e-06,0.0109149,0.000152731366247272,2.68615234972902e-05,0.000200584834448403,0.000427446760584038,7.82955958726905e-05,5.18417883998978e-06,0.00071237891319198,0.00033393658548464,6.6336730238481e-05,6.42,5.18391604007462e-05,6.35819399841253e-05,1.78853525589773e-05,3262.48,2.62656917089377e-05,0.000123895796224405,4.66545463264634e-05,0.000159942844853322,5.49452483442625e-05,3.39018659332169e-05,4.97665541325798e-05,5.72705590293765e-05,0.000141649699929136,0.000154395363147541,112,0.000164143686760987,4.85986033604835e-05,0.000136836252532024,4.01507750882324e-05,7.60347321637767e-06,0.000214319932787088,0.000166484471489259,7.71373722583402e-05,2.90309401307365e-05,2.48840868133371e-06,5.69,0.000102166975112672,4.4275186686038e-05,4.54469049804285e-05,5.80567053807268e-05,4.7689476731172e-05,2.03901697932718e-05,7.11902548986565e-05
"SMC-52",112,8.2,0,0.000144689098388717,0.00081764079976554,1.17729677362455e-06,0.00990543,0.00010149130800019,2.76117009516685e-05,0.000209510796473245,0.00037375018109076,0.000107452779611439,4.70918062633885e-06,0.000706734480102389,0.000565630280512597,5.79488570513487e-05,1.26,5.17985477670457e-05,9.10264220415069e-05,2.35458661732579e-05,871.19,3.8716925332416e-05,0.000138577324952482,5.33677156235868e-05,0.000148651601193039,5.33657052284031e-05,4.23802575464372e-05,8.24055399666346e-05,4.96865751042908e-05,0.000122746919706707,0.000213207985090502,90,0.000203653247040636,5.00327429668879e-05,0.000140396384542552,3.93848020512344e-05,2.0929631441291e-06,0.000226020831614937,0.000137385760580644,9.04120624549698e-05,3.76727058475357e-05,5.65101941263357e-06,5.4,0.000161361258181447,1.55120544320653e-05,5.78483012136921e-05,6.43530154469385e-05,4.08103044509112e-05,2.30220125716496e-05,0.000123459678218918
"SMC-51",117,7.9,0,0.00015010349063993,0.000864064536448161,0,0.0161804575,9.36666577087131e-05,3.06567763279642e-05,0.000203702195541222,0.000360265253214198,0.00011403657526543,3.51290112932112e-06,0.000701378305743017,0.000541291691944945,5.70059198536921e-05,1.36,6.32292775282206e-05,0.000125247746006085,2.3711683504013e-05,466.51,4.44915273620783e-05,0.000142408822290996,5.3568419041472e-05,0.000155795908562961,4.74191913211186e-05,4.1625145850821e-05,7.37651585358545e-05,6.06829888412097e-05,0.000116741299208467,0.000202940917524819,60,0.000234320164629098,5.40082414650644e-05,0.000100587887462034,3.44890088448402e-05,2.34192037473768e-06,0.00019925578073221,0.000134095320443617,9.06277350978257e-05,3.37231237905744e-05,8.43091680491348e-06,9.96,0.000173040536517899,2.10759000198735e-05,6.79502228431161e-05,5.79601711558908e-05,7.37603936891151e-05,1.5222222627953e-05,6.79110324657284e-05
"SMC-50",97,7.4,0,0.000142518693010185,0.000853057942182378,2.60377677818724e-06,0.0161411175,0.000107600713110223,2.93501180779199e-05,0.000207385745518041,0.000389345634468796,0.000108410641564971,3.47168579861723e-06,0.00070554240935583,0.00042065442838668,5.9808471031042e-05,2.5,5.20733888840219e-05,0.000101808729088271,2.21318577100504e-05,440.55,4.51293304863931e-05,0.000134096526569483,5.98825527766689e-05,0.000168842864573637,6.24823552075604e-05,3.69728934830338e-05,0.000114554235256525,6.03310456981365e-05,0.000131394931862872,0.000198233838587525,100,0.000197283099445889,5.07699623284452e-05,0.00014673852834135,3.97657661825868e-05,6.94329928396797e-06,0.000225317572444927,0.000143408692895974,9.26907323643977e-05,3.67993582308657e-05,8.33197938776564e-06,8.74,0.000138909554430633,2.02170881105079e-05,6.75804815515324e-05,5.64120447450467e-05,3.29789076234377e-05,2.08297231127919e-05,9.60400977416676e-05
"SLC-36",21,6.1,0,0.000130029355785322,0.000555958232166809,0.00011170362039703,0.0566,0.000119803500116866,3.16041850929594e-05,0.000250037935576319,0.000483977156298776,0.00011057152581917,4.73001377043758e-06,0.000747980485696687,0.00062450411512649,8.6211141937742e-05,1.59,7.50826859030607e-05,0.00014817034178316,5.409717308269e-05,455.93,6.22735018505072e-05,0.000175605402800594,5.43940216728434e-05,0.000191029163556955,6.73922491318812e-05,3.47633437636219e-05,9.2224368114513e-05,8.19517725405561e-05,0.00016572075560406,0.000119765875146394,51,0.000248260755772112,0.000108629032018692,0.000115435657028762,8.44892599558555e-05,1.65547140167366e-05,0.000279258539588101,0.000200839123049468,0.000172393385469816,5.29748515889494e-05,4.25700383566152e-06,8.78,0.000127869386495449,2.25360475112346e-05,4.14092467286853e-05,9.45934366880508e-05,3.31084185909436e-05,3.03493803890387e-05,5.59697974931161e-05
"SLC-37",22,6.3,0,0.000161836533587589,0.000494534183966389,0.000219615526949157,0.146748175,0.000139238832998378,3.32547850467879e-05,0.000246189036617439,0.000465950296610895,0.000100066759877615,9.45264908125409e-07,0.000733505159646874,0.000639175322019625,7.0808314794002e-05,1.32,6.89994552613982e-05,0.000258235200039314,6.38023169072799e-05,547.69,7.30912492259428e-05,0.000142890504447157,5.43487483015692e-05,0.000173370880980794,0.000135129805338252,2.89233640047293e-05,9.92433012521055e-05,9.26868777950673e-05,0.000147590189888192,0.000144226489038779,57,0.000223246297679003,0.000117310963879236,9.3312042863003e-05,7.01168425853993e-05,1.89049425542986e-05,0.000287158599200366,0.000208730029501725,0.000167859520570746,4.95310129859927e-05,3.40293855094487e-06,5.57,0.000117126214123298,3.06912497907152e-05,4.60639155941411e-05,8.60140013045907e-05,2.07950104589294e-05,2.70967118176646e-05,6.11250888544745e-05
"SLC-38",33,6.2,0,0.000213903372396018,0.000506013711276898,2.24223138807211e-05,0.0858,0.00018064221816827,4.20829141316581e-05,0.000242025456361761,0.00048724706488712,0.000117066440429525,6.75115577397634e-06,0.000773317559231934,0.00069671997239884,7.23938903162136e-05,1,7.37765489358111e-05,0.00011636179990071,5.35261756799965e-05,319.09,0.000106072162473492,0.000144631157086073,4.19519413763503e-05,0.000183080409532632,0.000209185811008483,2.57500235809616e-05,0.000104147808301036,0.000120892819951646,0.000168146043576067,0.00022227136304398,53,0.000251357934510699,0.000161252984267612,0.000106780097888448,6.99631373333176e-05,2.12176735239211e-05,0.000347153602775707,0.000217706994187328,0.000164905144220517,4.35922926955712e-05,6.94403991152726e-06,9.66,0.000128587769409938,4.08448663538064e-05,4.58167730470471e-05,0.000109455130492764,2.79677187935423e-05,2.15389936553123e-05,5.33641633178039e-05
